query_id,query_text,item_id,intent,language
Q00026,alternative à MacBook Air 15-inch (M2),LAP-2023-apple-macbook-air-15-inch-m2,compare,en
Q00027,MacBook Air 15-inch (M2) fiche technique,LAP-2023-apple-macbook-air-15-inch-m2,lookup,fr
Q00028,Apple MacBook Air 15-inch (M2) specs,LAP-2023-apple-macbook-air-15-inch-m2,lookup,en
Q00029,best price Apple MacBook Air 15-inch (M2),LAP-2023-apple-macbook-air-15-inch-m2,lookup,en
Q00030,compare Apple MacBook Air 15-inch (M2),LAP-2023-apple-macbook-air-15-inch-m2,compare,en
Q00031,Apple MacBook Air 13-inch (M3),LAP-2024-apple-macbook-air-13-inch-m3,lookup,en
Q00032,Apple MacBook Air 13-inch (M3) 2024,LAP-2024-apple-macbook-air-13-inch-m3,lookup,en
Q00033,MacBook Air 13-inch (M3) Apple,LAP-2024-apple-macbook-air-13-inch-m3,lookup,en
Q00034,prix Apple MacBook Air 13-inch (M3),LAP-2024-apple-macbook-air-13-inch-m3,lookup,fr
Q00035,je cherche MacBook Air 13-inch (M3),LAP-2024-apple-macbook-air-13-inch-m3,lookup,fr
Q00036,alternative à MacBook Air 13-inch (M3),LAP-2024-apple-macbook-air-13-inch-m3,compare,en
Q00037,MacBook Air 13-inch (M3) fiche technique,LAP-2024-apple-macbook-air-13-inch-m3,lookup,fr
Q00038,Apple MacBook Air 13-inch (M3) specs,LAP-2024-apple-macbook-air-13-inch-m3,lookup,en
Q00039,best price Apple MacBook Air 13-inch (M3),LAP-2024-apple-macbook-air-13-inch-m3,lookup,en
Q00040,compare Apple MacBook Air 13-inch (M3),LAP-2024-apple-macbook-air-13-inch-m3,compare,en
Q00041,Apple MacBook Air 15-inch (M3),LAP-2024-apple-macbook-air-15-inch-m3,lookup,en
Q00042,Apple MacBook Air 15-inch (M3) 2024,LAP-2024-apple-macbook-air-15-inch-m3,lookup,en
Q00043,MacBook Air 15-inch (M3) Apple,LAP-2024-apple-macbook-air-15-inch-m3,lookup,en
Q00044,prix Apple MacBook Air 15-inch (M3),LAP-2024-apple-macbook-air-15-inch-m3,lookup,fr
Q00045,je cherche MacBook Air 15-inch (M3),LAP-2024-apple-macbook-air-15-inch-m3,lookup,fr
Q00046,alternative à MacBook Air 15-inch (M3),LAP-2024-apple-macbook-air-15-inch-m3,compare,en
Q00047,MacBook Air 15-inch (M3) fiche technique,LAP-2024-apple-macbook-air-15-inch-m3,lookup,fr
Q00048,Apple MacBook Air 15-inch (M3) specs,LAP-2024-apple-macbook-air-15-inch-m3,lookup,en
Q00049,best price Apple MacBook Air 15-inch (M3),LAP-2024-apple-macbook-air-15-inch-m3,lookup,en
Q00050,compare Apple MacBook Air 15-inch (M3),LAP-2024-apple-macbook-air-15-inch-m3,compare,en
Q00051,Dell XPS 13 (2024),LAP-2024-dell-xps-13-2024,lookup,en
Q00052,Dell XPS 13 (2024) 2024,LAP-2024-dell-xps-13-2024,lookup,en
Q00053,XPS 13 (2024) Dell,LAP-2024-dell-xps-13-2024,lookup,en
Q00054,prix Dell XPS 13 (2024),LAP-2024-dell-xps-13-2024,lookup,fr
Q00055,je cherche XPS 13 (2024),LAP-2024-dell-xps-13-2024,lookup,fr
Q00056,alternative à XPS 13 (2024),LAP-2024-dell-xps-13-2024,compare,en
Q00057,XPS 13 (2024) fiche technique,LAP-2024-dell-xps-13-2024,lookup,fr
Q00058,Dell XPS 13 (2024) specs,LAP-2024-dell-xps-13-2024,lookup,en
Q00059,best price Dell XPS 13 (2024),LAP-2024-dell-xps-13-2024,lookup,en
Q00060,compare Dell XPS 13 (2024),LAP-2024-dell-xps-13-2024,compare,en
Q00061,Dell XPS 14 (9440),LAP-2024-dell-xps-14-9440,lookup,en
Q00062,Dell XPS 14 (9440) 2024,LAP-2024-dell-xps-14-9440,lookup,en
Q00063,XPS 14 (9440) Dell,LAP-2024-dell-xps-14-9440,lookup,en
Q00064,prix Dell XPS 14 (9440),LAP-2024-dell-xps-14-9440,lookup,fr
Q00065,je cherche XPS 14 (9440),LAP-2024-dell-xps-14-9440,lookup,fr
Q00066,alternative à XPS 14 (9440),LAP-2024-dell-xps-14-9440,compare,en
Q00067,XPS 14 (9440) fiche technique,LAP-2024-dell-xps-14-9440,lookup,fr
Q00068,Dell XPS 14 (9440) specs,LAP-2024-dell-xps-14-9440,lookup,en
Q00069,best price Dell XPS 14 (9440),LAP-2024-dell-xps-14-9440,lookup,en
Q00070,compare Dell XPS 14 (9440),LAP-2024-dell-xps-14-9440,compare,en
Q00071,Dell XPS 16 (9640),LAP-2024-dell-xps-16-9640,lookup,en
Q00072,Dell XPS 16 (9640) 2024,LAP-2024-dell-xps-16-9640,lookup,en
Q00073,XPS 16 (9640) Dell,LAP-2024-dell-xps-16-9640,lookup,en
Q00074,prix Dell XPS 16 (9640),LAP-2024-dell-xps-16-9640,lookup,fr
Q00075,je cherche XPS 16 (9640),LAP-2024-dell-xps-16-9640,lookup,fr
Q00076,alternative à XPS 16 (9640),LAP-2024-dell-xps-16-9640,compare,en
Q00077,XPS 16 (9640) fiche technique,LAP-2024-dell-xps-16-9640,lookup,fr
Q00078,Dell XPS 16 (9640) specs,LAP-2024-dell-xps-16-9640,lookup,en
Q00079,best price Dell XPS 16 (9640),LAP-2024-dell-xps-16-9640,lookup,en
Q00080,compare Dell XPS 16 (9640),LAP-2024-dell-xps-16-9640,compare,en
Q00081,"Lenovo Yoga 9i 2-in-1 (14, 2024)",LAP-2024-lenovo-yoga-9i-2-in-1-14-2024,lookup,en
Q00082,"Lenovo Yoga 9i 2-in-1 (14, 2024) 2024",LAP-2024-lenovo-yoga-9i-2-in-1-14-2024,lookup,en
Q00083,"Yoga 9i 2-in-1 (14, 2024) Lenovo",LAP-2024-lenovo-yoga-9i-2-in-1-14-2024,lookup,en
Q00084,"prix Lenovo Yoga 9i 2-in-1 (14, 2024)",LAP-2024-lenovo-yoga-9i-2-in-1-14-2024,lookup,fr
Q00085,"je cherche Yoga 9i 2-in-1 (14, 2024)",LAP-2024-lenovo-yoga-9i-2-in-1-14-2024,lookup,fr
Q00086,"alternative à Yoga 9i 2-in-1 (14, 2024)",LAP-2024-lenovo-yoga-9i-2-in-1-14-2024,compare,en
Q00087,"Yoga 9i 2-in-1 (14, 2024) fiche technique",LAP-2024-lenovo-yoga-9i-2-in-1-14-2024,lookup,fr
Q00088,"Lenovo Yoga 9i 2-in-1 (14, 2024) specs",LAP-2024-lenovo-yoga-9i-2-in-1-14-2024,lookup,en
Q00089,"best price Lenovo Yoga 9i 2-in-1 (14, 2024)",LAP-2024-lenovo-yoga-9i-2-in-1-14-2024,lookup,en
Q00090,"compare Lenovo Yoga 9i 2-in-1 (14, 2024)",LAP-2024-lenovo-yoga-9i-2-in-1-14-2024,compare,en
Q00091,Lenovo Yoga Pro 9i (2024),LAP-2024-lenovo-yoga-pro-9i-2024,lookup,en
Q00092,Lenovo Yoga Pro 9i (2024) 2024,LAP-2024-lenovo-yoga-pro-9i-2024,lookup,en
Q00093,Yoga Pro 9i (2024) Lenovo,LAP-2024-lenovo-yoga-pro-9i-2024,lookup,en
Q00094,prix Lenovo Yoga Pro 9i (2024),LAP-2024-lenovo-yoga-pro-9i-2024,lookup,fr
Q00095,je cherche Yoga Pro 9i (2024),LAP-2024-lenovo-yoga-pro-9i-2024,lookup,fr
Q00096,alternative à Yoga Pro 9i (2024),LAP-2024-lenovo-yoga-pro-9i-2024,compare,en
Q00097,Yoga Pro 9i (2024) fiche technique,LAP-2024-lenovo-yoga-pro-9i-2024,lookup,fr
Q00098,Lenovo Yoga Pro 9i (2024) specs,LAP-2024-lenovo-yoga-pro-9i-2024,lookup,en
Q00099,best price Lenovo Yoga Pro 9i (2024),LAP-2024-lenovo-yoga-pro-9i-2024,lookup,en
Q00100,compare Lenovo Yoga Pro 9i (2024),LAP-2024-lenovo-yoga-pro-9i-2024,compare,en
Q00101,Lenovo ThinkPad X1 Carbon Gen 12,LAP-2024-lenovo-thinkpad-x1-carbon-gen-12,lookup,en
Q00102,Lenovo ThinkPad X1 Carbon Gen 12 2024,LAP-2024-lenovo-thinkpad-x1-carbon-gen-12,lookup,en
Q00103,ThinkPad X1 Carbon Gen 12 Lenovo,LAP-2024-lenovo-thinkpad-x1-carbon-gen-12,lookup,en
Q00104,prix Lenovo ThinkPad X1 Carbon Gen 12,LAP-2024-lenovo-thinkpad-x1-carbon-gen-12,lookup,fr
Q00105,je cherche ThinkPad X1 Carbon Gen 12,LAP-2024-lenovo-thinkpad-x1-carbon-gen-12,lookup,fr
Q00106,alternative à ThinkPad X1 Carbon Gen 12,LAP-2024-lenovo-thinkpad-x1-carbon-gen-12,compare,en
Q00107,ThinkPad X1 Carbon Gen 12 fiche technique,LAP-2024-lenovo-thinkpad-x1-carbon-gen-12,lookup,fr
Q00108,Lenovo ThinkPad X1 Carbon Gen 12 specs,LAP-2024-lenovo-thinkpad-x1-carbon-gen-12,lookup,en
Q00109,best price Lenovo ThinkPad X1 Carbon Gen 12,LAP-2024-lenovo-thinkpad-x1-carbon-gen-12,lookup,en
Q00110,compare Lenovo ThinkPad X1 Carbon Gen 12,LAP-2024-lenovo-thinkpad-x1-carbon-gen-12,compare,en
Q00111,ASUS ROG Zephyrus G14 (2024),LAP-2024-asus-rog-zephyrus-g14-2024,lookup,en
Q00112,ASUS ROG Zephyrus G14 (2024) 2024,LAP-2024-asus-rog-zephyrus-g14-2024,lookup,en
Q00113,ROG Zephyrus G14 (2024) ASUS,LAP-2024-asus-rog-zephyrus-g14-2024,lookup,en
Q00114,prix ASUS ROG Zephyrus G14 (2024),LAP-2024-asus-rog-zephyrus-g14-2024,lookup,fr
Q00115,je cherche ROG Zephyrus G14 (2024),LAP-2024-asus-rog-zephyrus-g14-2024,lookup,fr
Q00116,alternative à ROG Zephyrus G14 (2024),LAP-2024-asus-rog-zephyrus-g14-2024,compare,en
Q00117,ROG Zephyrus G14 (2024) fiche technique,LAP-2024-asus-rog-zephyrus-g14-2024,lookup,fr
Q00118,ASUS ROG Zephyrus G14 (2024) specs,LAP-2024-asus-rog-zephyrus-g14-2024,lookup,en
Q00119,best price ASUS ROG Zephyrus G14 (2024),LAP-2024-asus-rog-zephyrus-g14-2024,lookup,en
Q00120,compare ASUS ROG Zephyrus G14 (2024),LAP-2024-asus-rog-zephyrus-g14-2024,compare,en
Q00121,Framework Laptop 16 (initial release),LAP-2024-framework-laptop-16-initial-release,lookup,en
Q00122,Framework Laptop 16 (initial release) 2024,LAP-2024-framework-laptop-16-initial-release,lookup,en
Q00123,Laptop 16 (initial release) Framework,LAP-2024-framework-laptop-16-initial-release,lookup,en
Q00124,prix Framework Laptop 16 (initial release),LAP-2024-framework-laptop-16-initial-release,lookup,fr
Q00125,je cherche Laptop 16 (initial release),LAP-2024-framework-laptop-16-initial-release,lookup,fr
Q00126,alternative à Laptop 16 (initial release),LAP-2024-framework-laptop-16-initial-release,compare,en
Q00127,Laptop 16 (initial release) fiche technique,LAP-2024-framework-laptop-16-initial-release,lookup,fr
Q00128,Framework Laptop 16 (initial release) specs,LAP-2024-framework-laptop-16-initial-release,lookup,en
Q00129,best price Framework Laptop 16 (initial release),LAP-2024-framework-laptop-16-initial-release,lookup,en
Q00130,compare Framework Laptop 16 (initial release),LAP-2024-framework-laptop-16-initial-release,compare,en
Q00131,Apple MacBook Air 13-inch (M4),LAP-2025-apple-macbook-air-13-inch-m4,lookup,en
Q00132,Apple MacBook Air 13-inch (M4) 2025,LAP-2025-apple-macbook-air-13-inch-m4,lookup,en
Q00133,MacBook Air 13-inch (M4) Apple,LAP-2025-apple-macbook-air-13-inch-m4,lookup,en
Q00134,prix Apple MacBook Air 13-inch (M4),LAP-2025-apple-macbook-air-13-inch-m4,lookup,fr
Q00135,je cherche MacBook Air 13-inch (M4),LAP-2025-apple-macbook-air-13-inch-m4,lookup,fr
Q00136,alternative à MacBook Air 13-inch (M4),LAP-2025-apple-macbook-air-13-inch-m4,compare,en
Q00137,MacBook Air 13-inch (M4) fiche technique,LAP-2025-apple-macbook-air-13-inch-m4,lookup,fr
Q00138,Apple MacBook Air 13-inch (M4) specs,LAP-2025-apple-macbook-air-13-inch-m4,lookup,en
Q00139,best price Apple MacBook Air 13-inch (M4),LAP-2025-apple-macbook-air-13-inch-m4,lookup,en
Q00140,compare Apple MacBook Air 13-inch (M4),LAP-2025-apple-macbook-air-13-inch-m4,compare,en
Q00141,Apple MacBook Air 15-inch (M4),LAP-2025-apple-macbook-air-15-inch-m4,lookup,en
Q00142,Apple MacBook Air 15-inch (M4) 2025,LAP-2025-apple-macbook-air-15-inch-m4,lookup,en
Q00143,MacBook Air 15-inch (M4) Apple,LAP-2025-apple-macbook-air-15-inch-m4,lookup,en
Q00144,prix Apple MacBook Air 15-inch (M4),LAP-2025-apple-macbook-air-15-inch-m4,lookup,fr
Q00145,je cherche MacBook Air 15-inch (M4),LAP-2025-apple-macbook-air-15-inch-m4,lookup,fr
Q00146,alternative à MacBook Air 15-inch (M4),LAP-2025-apple-macbook-air-15-inch-m4,compare,en
Q00147,MacBook Air 15-inch (M4) fiche technique,LAP-2025-apple-macbook-air-15-inch-m4,lookup,fr
Q00148,Apple MacBook Air 15-inch (M4) specs,LAP-2025-apple-macbook-air-15-inch-m4,lookup,en
Q00149,best price Apple MacBook Air 15-inch (M4),LAP-2025-apple-macbook-air-15-inch-m4,lookup,en
Q00150,compare Apple MacBook Air 15-inch (M4),LAP-2025-apple-macbook-air-15-inch-m4,compare,en
Q00151,Framework Laptop 16 (2025 refresh),LAP-2025-framework-laptop-16-2025-refresh,lookup,en
Q00152,Framework Laptop 16 (2025 refresh) 2025,LAP-2025-framework-laptop-16-2025-refresh,lookup,en
Q00153,Laptop 16 (2025 refresh) Framework,LAP-2025-framework-laptop-16-2025-refresh,lookup,en
Q00154,prix Framework Laptop 16 (2025 refresh),LAP-2025-framework-laptop-16-2025-refresh,lookup,fr
Q00155,je cherche Laptop 16 (2025 refresh),LAP-2025-framework-laptop-16-2025-refresh,lookup,fr
Q00156,alternative à Laptop 16 (2025 refresh),LAP-2025-framework-laptop-16-2025-refresh,compare,en
Q00157,Laptop 16 (2025 refresh) fiche technique,LAP-2025-framework-laptop-16-2025-refresh,lookup,fr
Q00158,Framework Laptop 16 (2025 refresh) specs,LAP-2025-framework-laptop-16-2025-refresh,lookup,en
Q00159,best price Framework Laptop 16 (2025 refresh),LAP-2025-framework-laptop-16-2025-refresh,lookup,en
Q00160,compare Framework Laptop 16 (2025 refresh),LAP-2025-framework-laptop-16-2025-refresh,compare,en
Q00161,Apple iPhone 15,PHO-2023-apple-iphone-15,lookup,en
Q00162,Apple iPhone 15 2023,PHO-2023-apple-iphone-15,lookup,en
Q00163,iPhone 15 Apple,PHO-2023-apple-iphone-15,lookup,en
Q00164,prix Apple iPhone 15,PHO-2023-apple-iphone-15,lookup,fr
Q00165,je cherche iPhone 15,PHO-2023-apple-iphone-15,lookup,fr
Q00166,alternative à iPhone 15,PHO-2023-apple-iphone-15,compare,en
Q00167,iPhone 15 fiche technique,PHO-2023-apple-iphone-15,lookup,fr
Q00168,Apple iPhone 15 specs,PHO-2023-apple-iphone-15,lookup,en
Q00169,best price Apple iPhone 15,PHO-2023-apple-iphone-15,lookup,en
Q00170,compare Apple iPhone 15,PHO-2023-apple-iphone-15,compare,en
Q00171,Apple iPhone 15 Plus,PHO-2023-apple-iphone-15-plus,lookup,en
Q00172,Apple iPhone 15 Plus 2023,PHO-2023-apple-iphone-15-plus,lookup,en
Q00173,iPhone 15 Plus Apple,PHO-2023-apple-iphone-15-plus,lookup,en
Q00174,prix Apple iPhone 15 Plus,PHO-2023-apple-iphone-15-plus,lookup,fr
Q00175,je cherche iPhone 15 Plus,PHO-2023-apple-iphone-15-plus,lookup,fr
Q00176,alternative à iPhone 15 Plus,PHO-2023-apple-iphone-15-plus,compare,en
Q00177,iPhone 15 Plus fiche technique,PHO-2023-apple-iphone-15-plus,lookup,fr
Q00178,Apple iPhone 15 Plus specs,PHO-2023-apple-iphone-15-plus,lookup,en
Q00179,best price Apple iPhone 15 Plus,PHO-2023-apple-iphone-15-plus,lookup,en
Q00180,compare Apple iPhone 15 Plus,PHO-2023-apple-iphone-15-plus,compare,en
Q00181,Apple iPhone 15 Pro,PHO-2023-apple-iphone-15-pro,lookup,en
Q00182,Apple iPhone 15 Pro 2023,PHO-2023-apple-iphone-15-pro,lookup,en
Q00183,iPhone 15 Pro Apple,PHO-2023-apple-iphone-15-pro,lookup,en
Q00184,prix Apple iPhone 15 Pro,PHO-2023-apple-iphone-15-pro,lookup,fr
Q00185,je cherche iPhone 15 Pro,PHO-2023-apple-iphone-15-pro,lookup,fr
Q00186,alternative à iPhone 15 Pro,PHO-2023-apple-iphone-15-pro,compare,en
Q00187,iPhone 15 Pro fiche technique,PHO-2023-apple-iphone-15-pro,lookup,fr
Q00188,Apple iPhone 15 Pro specs,PHO-2023-apple-iphone-15-pro,lookup,en
Q00189,best price Apple iPhone 15 Pro,PHO-2023-apple-iphone-15-pro,lookup,en
Q00190,compare Apple iPhone 15 Pro,PHO-2023-apple-iphone-15-pro,compare,en
Q00191,Apple iPhone 15 Pro Max,PHO-2023-apple-iphone-15-pro-max,lookup,en
Q00192,Apple iPhone 15 Pro Max 2023,PHO-2023-apple-iphone-15-pro-max,lookup,en
Q00193,iPhone 15 Pro Max Apple,PHO-2023-apple-iphone-15-pro-max,lookup,en
Q00194,prix Apple iPhone 15 Pro Max,PHO-2023-apple-iphone-15-pro-max,lookup,fr
Q00195,je cherche iPhone 15 Pro Max,PHO-2023-apple-iphone-15-pro-max,lookup,fr
Q00196,alternative à iPhone 15 Pro Max,PHO-2023-apple-iphone-15-pro-max,compare,en
Q00197,iPhone 15 Pro Max fiche technique,PHO-2023-apple-iphone-15-pro-max,lookup,fr
Q00198,Apple iPhone 15 Pro Max specs,PHO-2023-apple-iphone-15-pro-max,lookup,en
Q00199,best price Apple iPhone 15 Pro Max,PHO-2023-apple-iphone-15-pro-max,lookup,en
Q00200,compare Apple iPhone 15 Pro Max,PHO-2023-apple-iphone-15-pro-max,compare,en
Q00201,Apple iPhone 16,PHO-2024-apple-iphone-16,lookup,en
Q00202,Apple iPhone 16 2024,PHO-2024-apple-iphone-16,lookup,en
Q00203,iPhone 16 Apple,PHO-2024-apple-iphone-16,lookup,en
Q00204,prix Apple iPhone 16,PHO-2024-apple-iphone-16,lookup,fr
Q00205,je cherche iPhone 16,PHO-2024-apple-iphone-16,lookup,fr
Q00206,alternative à iPhone 16,PHO-2024-apple-iphone-16,compare,en
Q00207,iPhone 16 fiche technique,PHO-2024-apple-iphone-16,lookup,fr
Q00208,Apple iPhone 16 specs,PHO-2024-apple-iphone-16,lookup,en
Q00209,best price Apple iPhone 16,PHO-2024-apple-iphone-16,lookup,en
Q00210,compare Apple iPhone 16,PHO-2024-apple-iphone-16,compare,en
Q00211,Apple iPhone 16 Plus,PHO-2024-apple-iphone-16-plus,lookup,en
Q00212,Apple iPhone 16 Plus 2024,PHO-2024-apple-iphone-16-plus,lookup,en
Q00213,iPhone 16 Plus Apple,PHO-2024-apple-iphone-16-plus,lookup,en
Q00214,prix Apple iPhone 16 Plus,PHO-2024-apple-iphone-16-plus,lookup,fr
Q00215,je cherche iPhone 16 Plus,PHO-2024-apple-iphone-16-plus,lookup,fr
Q00216,alternative à iPhone 16 Plus,PHO-2024-apple-iphone-16-plus,compare,en
Q00217,iPhone 16 Plus fiche technique,PHO-2024-apple-iphone-16-plus,lookup,fr
Q00218,Apple iPhone 16 Plus specs,PHO-2024-apple-iphone-16-plus,lookup,en
Q00219,best price Apple iPhone 16 Plus,PHO-2024-apple-iphone-16-plus,lookup,en
Q00220,compare Apple iPhone 16 Plus,PHO-2024-apple-iphone-16-plus,compare,en
Q00221,Apple iPhone 16 Pro,PHO-2024-apple-iphone-16-pro,lookup,en
Q00222,Apple iPhone 16 Pro 2024,PHO-2024-apple-iphone-16-pro,lookup,en
Q00223,iPhone 16 Pro Apple,PHO-2024-apple-iphone-16-pro,lookup,en
Q00224,prix Apple iPhone 16 Pro,PHO-2024-apple-iphone-16-pro,lookup,fr
Q00225,je cherche iPhone 16 Pro,PHO-2024-apple-iphone-16-pro,lookup,fr
Q00226,alternative à iPhone 16 Pro,PHO-2024-apple-iphone-16-pro,compare,en
Q00227,iPhone 16 Pro fiche technique,PHO-2024-apple-iphone-16-pro,lookup,fr
Q00228,Apple iPhone 16 Pro specs,PHO-2024-apple-iphone-16-pro,lookup,en
Q00229,best price Apple iPhone 16 Pro,PHO-2024-apple-iphone-16-pro,lookup,en
Q00230,compare Apple iPhone 16 Pro,PHO-2024-apple-iphone-16-pro,compare,en
Q00231,Apple iPhone 16 Pro Max,PHO-2024-apple-iphone-16-pro-max,lookup,en
Q00232,Apple iPhone 16 Pro Max 2024,PHO-2024-apple-iphone-16-pro-max,lookup,en
Q00233,iPhone 16 Pro Max Apple,PHO-2024-apple-iphone-16-pro-max,lookup,en
Q00234,prix Apple iPhone 16 Pro Max,PHO-2024-apple-iphone-16-pro-max,lookup,fr
Q00235,je cherche iPhone 16 Pro Max,PHO-2024-apple-iphone-16-pro-max,lookup,fr
Q00236,alternative à iPhone 16 Pro Max,PHO-2024-apple-iphone-16-pro-max,compare,en
Q00237,iPhone 16 Pro Max fiche technique,PHO-2024-apple-iphone-16-pro-max,lookup,fr
Q00238,Apple iPhone 16 Pro Max specs,PHO-2024-apple-iphone-16-pro-max,lookup,en
Q00239,best price Apple iPhone 16 Pro Max,PHO-2024-apple-iphone-16-pro-max,lookup,en
Q00240,compare Apple iPhone 16 Pro Max,PHO-2024-apple-iphone-16-pro-max,compare,en
Q00241,Apple iPhone 17,PHO-2025-apple-iphone-17,lookup,en
Q00242,Apple iPhone 17 2025,PHO-2025-apple-iphone-17,lookup,en
Q00243,iPhone 17 Apple,PHO-2025-apple-iphone-17,lookup,en
Q00244,prix Apple iPhone 17,PHO-2025-apple-iphone-17,lookup,fr
Q00245,je cherche iPhone 17,PHO-2025-apple-iphone-17,lookup,fr
Q00246,alternative à iPhone 17,PHO-2025-apple-iphone-17,compare,en
Q00247,iPhone 17 fiche technique,PHO-2025-apple-iphone-17,lookup,fr
Q00248,Apple iPhone 17 specs,PHO-2025-apple-iphone-17,lookup,en
Q00249,best price Apple iPhone 17,PHO-2025-apple-iphone-17,lookup,en
Q00250,compare Apple iPhone 17,PHO-2025-apple-iphone-17,compare,en
Q00251,Apple iPhone 17 Plus,PHO-2025-apple-iphone-17-plus,lookup,en
Q00252,Apple iPhone 17 Plus 2025,PHO-2025-apple-iphone-17-plus,lookup,en
Q00253,iPhone 17 Plus Apple,PHO-2025-apple-iphone-17-plus,lookup,en
Q00254,prix Apple iPhone 17 Plus,PHO-2025-apple-iphone-17-plus,lookup,fr
Q00255,je cherche iPhone 17 Plus,PHO-2025-apple-iphone-17-plus,lookup,fr
Q00256,alternative à iPhone 17 Plus,PHO-2025-apple-iphone-17-plus,compare,en
Q00257,iPhone 17 Plus fiche technique,PHO-2025-apple-iphone-17-plus,lookup,fr
Q00258,Apple iPhone 17 Plus specs,PHO-2025-apple-iphone-17-plus,lookup,en
Q00259,best price Apple iPhone 17 Plus,PHO-2025-apple-iphone-17-plus,lookup,en
Q00260,compare Apple iPhone 17 Plus,PHO-2025-apple-iphone-17-plus,compare,en
Q00261,Apple iPhone 17 Pro,PHO-2025-apple-iphone-17-pro,lookup,en
Q00262,Apple iPhone 17 Pro 2025,PHO-2025-apple-iphone-17-pro,lookup,en
Q00263,iPhone 17 Pro Apple,PHO-2025-apple-iphone-17-pro,lookup,en
Q00264,prix Apple iPhone 17 Pro,PHO-2025-apple-iphone-17-pro,lookup,fr
Q00265,je cherche iPhone 17 Pro,PHO-2025-apple-iphone-17-pro,lookup,fr
Q00266,alternative à iPhone 17 Pro,PHO-2025-apple-iphone-17-pro,compare,en
Q00267,iPhone 17 Pro fiche technique,PHO-2025-apple-iphone-17-pro,lookup,fr
Q00268,Apple iPhone 17 Pro specs,PHO-2025-apple-iphone-17-pro,lookup,en
Q00269,best price Apple iPhone 17 Pro,PHO-2025-apple-iphone-17-pro,lookup,en
Q00270,compare Apple iPhone 17 Pro,PHO-2025-apple-iphone-17-pro,compare,en
Q00271,Apple iPhone 17 Pro Max,PHO-2025-apple-iphone-17-pro-max,lookup,en
Q00272,Apple iPhone 17 Pro Max 2025,PHO-2025-apple-iphone-17-pro-max,lookup,en
Q00273,iPhone 17 Pro Max Apple,PHO-2025-apple-iphone-17-pro-max,lookup,en
