item_id,domain,year,year_type,brand,model,category,official_name,description,keywords
LAP-2025-apple-macbook-air-13-inch-m4,laptop,2025,release,Apple,MacBook Air 13-inch (M4),ultrabook,Apple MacBook Air 13-inch (M4),MacBook Air 13 pouces avec puce M4.,"13, 2025, air, apple, m4, macbook"
LAP-2025-apple-macbook-air-15-inch-m4,laptop,2025,release,Apple,MacBook Air 15-inch (M4),ultrabook,Apple MacBook Air 15-inch (M4),MacBook Air 15 pouces avec puce M4.,"15, 2025, air, apple, m4, macbook"
LAP-2025-framework-laptop-16-2025-refresh,laptop,2025,release,Framework,Laptop 16 (2025 refresh),modular,Framework Laptop 16 (2025 refresh),Framework Laptop 16 version refresh 2025 (CPU/option GPU plus récents).,"16, 2025, framework, laptop, modular, refresh"
PHO-2023-apple-iphone-15,phone,2023,release,Apple,iPhone 15,smartphone,Apple iPhone 15,iPhone génération 2023.,"15, apple, iphone, smartphone"
PHO-2023-apple-iphone-15-plus,phone,2023,release,Apple,iPhone 15 Plus,smartphone,Apple iPhone 15 Plus,iPhone 15 Plus (2023).,"15 plus, apple, iphone"
PHO-2023-apple-iphone-15-pro,phone,2023,release,Apple,iPhone 15 Pro,smartphone,Apple iPhone 15 Pro,iPhone 15 Pro (2023).,"15 pro, apple, iphone"
PHO-2023-apple-iphone-15-pro-max,phone,2023,release,Apple,iPhone 15 Pro Max,smartphone,Apple iPhone 15 Pro Max,iPhone 15 Pro Max (2023).,"15 pro max, apple, iphone"
PHO-2024-apple-iphone-16,phone,2024,release,Apple,iPhone 16,smartphone,Apple iPhone 16,iPhone génération 2024.,"16, apple, iphone"
PHO-2024-apple-iphone-16-plus,phone,2024,release,Apple,iPhone 16 Plus,smartphone,Apple iPhone 16 Plus,iPhone 16 Plus (2024).,"16 plus, apple, iphone"
PHO-2024-apple-iphone-16-pro,phone,2024,release,Apple,iPhone 16 Pro,smartphone,Apple iPhone 16 Pro,iPhone 16 Pro (2024).,"16 pro, apple, iphone"
PHO-2024-apple-iphone-16-pro-max,phone,2024,release,Apple,iPhone 16 Pro Max,smartphone,Apple iPhone 16 Pro Max,iPhone 16 Pro Max (2024).,"16 pro max, apple, iphone"
PHO-2025-apple-iphone-17,phone,2025,release,Apple,iPhone 17,smartphone,Apple iPhone 17,iPhone génération 2025.,"17, apple, iphone"
PHO-2025-apple-iphone-17-plus,phone,2025,release,Apple,iPhone 17 Plus,smartphone,Apple iPhone 17 Plus,iPhone 17 Plus (2025).,"17 plus, apple, iphone"
PHO-2025-apple-iphone-17-pro,phone,2025,release,Apple,iPhone 17 Pro,smartphone,Apple iPhone 17 Pro,iPhone 17 Pro (2025).,"17 pro, apple, iphone"
PHO-2025-apple-iphone-17-pro-max,phone,2025,release,Apple,iPhone 17 Pro Max,smartphone,Apple iPhone 17 Pro Max,iPhone 17 Pro Max (2025).,"17 pro max, apple, iphone"
PHO-2023-samsung-galaxy-s23,phone,2023,release,Samsung,Galaxy S23,smartphone,Samsung Galaxy S23,Galaxy S23 (2023).,"android, galaxy, s23, samsung"
PHO-2023-samsung-galaxy-s23-ultra,phone,2023,release,Samsung,Galaxy S23 Ultra,smartphone,Samsung Galaxy S23 Ultra,Galaxy S23 Ultra (2023).,"galaxy, s23 ultra, samsung"
PHO-2024-samsung-galaxy-s24,phone,2024,release,Samsung,Galaxy S24,smartphone,Samsung Galaxy S24,Galaxy S24 (2024).,"galaxy, s24, samsung"
PHO-2024-samsung-galaxy-s24-ultra,phone,2024,release,Samsung,Galaxy S24 Ultra,smartphone,Samsung Galaxy S24 Ultra,Galaxy S24 Ultra (2024).,"galaxy, s24 ultra, samsung"
PHO-2025-samsung-galaxy-s25,phone,2025,release,Samsung,Galaxy S25,smartphone,Samsung Galaxy S25,Galaxy S25 (2025).,"galaxy, s25, samsung"
PHO-2025-samsung-galaxy-s25-ultra,phone,2025,release,Samsung,Galaxy S25 Ultra,smartphone,Samsung Galaxy S25 Ultra,Galaxy S25 Ultra (2025).,"galaxy, s25 ultra, samsung"
PHO-2023-google-pixel-8,phone,2023,release,Google,Pixel 8,smartphone,Google Pixel 8,Google Pixel 8 (2023).,"8, google, pixel"
PHO-2023-google-pixel-8-pro,phone,2023,release,Google,Pixel 8 Pro,smartphone,Google Pixel 8 Pro,Google Pixel 8 Pro (2023).,"8 pro, google, pixel"
PHO-2024-google-pixel-9,phone,2024,release,Google,Pixel 9,smartphone,Google Pixel 9,Google Pixel 9 (2024).,"9, google, pixel"
PHO-2024-google-pixel-9-pro,phone,2024,release,Google,Pixel 9 Pro,smartphone,Google Pixel 9 Pro,Google Pixel 9 Pro (2024).,"9 pro, google, pixel"
PHO-2024-google-pixel-9-pro-xl,phone,2024,release,Google,Pixel 9 Pro XL,smartphone,Google Pixel 9 Pro XL,Google Pixel 9 Pro XL (2024).,"9 pro xl, google, pixel"
PHO-2025-google-pixel-10,phone,2025,release,Google,Pixel 10,smartphone,Google Pixel 10,Google Pixel 10 (2025).,"10, google, pixel"
PHO-2025-google-pixel-10-pro,phone,2025,release,Google,Pixel 10 Pro,smartphone,Google Pixel 10 Pro,Google Pixel 10 Pro (2025).,"10 pro, google, pixel"
PHO-2025-google-pixel-10-pro-xl,phone,2025,release,Google,Pixel 10 Pro XL,smartphone,Google Pixel 10 Pro XL,Google Pixel 10 Pro XL (2025).,"10 pro xl, google, pixel"
PHO-2025-google-pixel-10-pro-fold,phone,2025,release,Google,Pixel 10 Pro Fold,smartphone,Google Pixel 10 Pro Fold,Google Pixel 10 Pro Fold (2025).,"10 pro fold, foldable, google, pixel"
PHO-2024-oneplus-oneplus-12,phone,2024,release,OnePlus,OnePlus 12,smartphone,OnePlus OnePlus 12,OnePlus 12 (2024).,"12, android, oneplus"
PHO-2024-oneplus-oneplus-12r,phone,2024,release,OnePlus,OnePlus 12R,smartphone,OnePlus OnePlus 12R,OnePlus 12R (2024).,"12r, oneplus"
PHO-2025-oneplus-oneplus-13,phone,2025,release,OnePlus,OnePlus 13,smartphone,OnePlus OnePlus 13,OnePlus 13 (2025 international).,"13, oneplus"
PHO-2023-xiaomi-xiaomi-14,phone,2023,release,Xiaomi,Xiaomi 14,smartphone,Xiaomi Xiaomi 14,Xiaomi 14 (sortie initiale 2023).,"14, xiaomi"
PHO-2023-xiaomi-xiaomi-14-pro,phone,2023,release,Xiaomi,Xiaomi 14 Pro,smartphone,Xiaomi Xiaomi 14 Pro,Xiaomi 14 Pro (2023).,"14 pro, xiaomi"
PHO-2024-xiaomi-xiaomi-14-ultra,phone,2024,release,Xiaomi,Xiaomi 14 Ultra,smartphone,Xiaomi Xiaomi 14 Ultra,Xiaomi 14 Ultra (2024).,"14 ultra, xiaomi"
PHO-2024-xiaomi-xiaomi-15,phone,2024,release,Xiaomi,Xiaomi 15,smartphone,Xiaomi Xiaomi 15,Xiaomi 15 (sortie initiale 2024).,"15, xiaomi"
PHO-2024-xiaomi-xiaomi-15-pro,phone,2024,release,Xiaomi,Xiaomi 15 Pro,smartphone,Xiaomi Xiaomi 15 Pro,Xiaomi 15 Pro (2024).,"15 pro, xiaomi"
PHO-2025-xiaomi-xiaomi-15-ultra,phone,2025,release,Xiaomi,Xiaomi 15 Ultra,smartphone,Xiaomi Xiaomi 15 Ultra,Xiaomi 15 Ultra (2025).,"15 ultra, xiaomi"
PHO-2025-xiaomi-xiaomi-15s-pro,phone,2025,release,Xiaomi,Xiaomi 15S Pro,smartphone,Xiaomi Xiaomi 15S Pro,Xiaomi 15S Pro (2025).,"15s pro, xiaomi"
PC_-2023-intel-core-i9-14900k,pc_component,2023,build,Intel,Core i9-14900K,cpu,Intel Core i9-14900K,CPU desktop haut de gamme (build 2023).,"14900k, 14th gen, cpu, i9, intel, lga1700"
PC_-2023-intel-core-i7-14700k,pc_component,2023,build,Intel,Core i7-14700K,cpu,Intel Core i7-14700K,CPU desktop performance (build 2023).,"14700k, cpu, i7, intel"
PC_-2023-intel-core-i5-14600k,pc_component,2023,build,Intel,Core i5-14600K,cpu,Intel Core i5-14600K,CPU desktop gaming/usage mix (build 2023).,"14600k, cpu, i5, intel"
PC_-2023-amd-ryzen-7-7800x3d,pc_component,2023,build,AMD,Ryzen 7 7800X3D,cpu,AMD Ryzen 7 7800X3D,CPU gaming très populaire (build 2023).,"7800x3d, am5, amd, cpu, ryzen"
PC_-2023-amd-ryzen-9-7950x3d,pc_component,2023,build,AMD,Ryzen 9 7950X3D,cpu,AMD Ryzen 9 7950X3D,CPU haut de gamme avec 3D V-Cache (build 2023).,"7950x3d, amd, cpu, ryzen"
PC_-2024-intel-core-ultra-7-265k,pc_component,2024,build,Intel,Core Ultra 7 265K,cpu,Intel Core Ultra 7 265K,CPU desktop nouvelle génération (build 2024).,"265k, 7, core ultra, cpu, intel"
PC_-2024-amd-ryzen-7-8700g,pc_component,2024,build,AMD,Ryzen 7 8700G,cpu,AMD Ryzen 7 8700G,APU desktop (CPU+GPU intégré) pour build 2024.,"8700g, am5, amd, apu, ryzen"
PC_-2024-amd-ryzen-5-8600g,pc_component,2024,build,AMD,Ryzen 5 8600G,cpu,AMD Ryzen 5 8600G,APU desktop milieu de gamme (build 2024).,"8600g, amd, apu, ryzen"
PC_-2024-amd-ryzen-7-9700x,pc_component,2024,build,AMD,Ryzen 7 9700X,cpu,AMD Ryzen 7 9700X,CPU desktop Zen 5 (build 2024).,"9700x, amd, cpu, ryzen, zen5"
PC_-2024-amd-ryzen-9-9950x,pc_component,2024,build,AMD,Ryzen 9 9950X,cpu,AMD Ryzen 9 9950X,CPU desktop Zen 5 haut de gamme (build 2024).,"9950x, amd, cpu, ryzen, zen5"
PC_-2025-intel-core-ultra-9-295k,pc_component,2025,build,Intel,Core Ultra 9 295K,cpu,Intel Core Ultra 9 295K,CPU desktop très haut de gamme (build 2025).,"295k, 9, core ultra, cpu, intel"
PC_-2025-amd-ryzen-7-9800x3d,pc_component,2025,build,AMD,Ryzen 7 9800X3D,cpu,AMD Ryzen 7 9800X3D,CPU gaming X3D (build 2025).,"9800x3d, amd, cpu, ryzen, x3d"
PC_-2025-amd-ryzen-ai-max-395,pc_component,2025,build,AMD,Ryzen AI MAX+ 395,apu,AMD Ryzen AI MAX+ 395,APU mobile/compact puissant (build 2025).,"395, ai, amd, apu, max+, ryzen"
PC_-2023-nvidia-geforce-rtx-4070,pc_component,2023,build,NVIDIA,GeForce RTX 4070,gpu,NVIDIA GeForce RTX 4070,GPU gaming (build 2023).,"4070, gpu, nvidia, rtx"
PC_-2023-nvidia-geforce-rtx-4060-ti,pc_component,2023,build,NVIDIA,GeForce RTX 4060 Ti,gpu,NVIDIA GeForce RTX 4060 Ti,GPU gaming milieu de gamme (build 2023).,"4060 ti, gpu, nvidia, rtx"
PC_-2023-amd-radeon-rx-7800-xt,pc_component,2023,build,AMD,Radeon RX 7800 XT,gpu,AMD Radeon RX 7800 XT,GPU AMD RDNA3 (build 2023).,"7800 xt, amd, gpu, radeon, rx"
PC_-2023-amd-radeon-rx-7700-xt,pc_component,2023,build,AMD,Radeon RX 7700 XT,gpu,AMD Radeon RX 7700 XT,GPU AMD RDNA3 (build 2023).,"7700 xt, amd, gpu, radeon, rx"
PC_-2024-nvidia-geforce-rtx-4070-super,pc_component,2024,build,NVIDIA,GeForce RTX 4070 SUPER,gpu,NVIDIA GeForce RTX 4070 SUPER,GPU refresh (build 2024).,"4070 super, gpu, nvidia, rtx"
PC_-2024-nvidia-geforce-rtx-4080-super,pc_component,2024,build,NVIDIA,GeForce RTX 4080 SUPER,gpu,NVIDIA GeForce RTX 4080 SUPER,GPU haut de gamme (build 2024).,"4080 super, gpu, nvidia, rtx"
PC_-2024-amd-radeon-rx-7600-xt,pc_component,2024,build,AMD,Radeon RX 7600 XT,gpu,AMD Radeon RX 7600 XT,GPU AMD (build 2024).,"7600 xt, amd, gpu, radeon, rx"
PC_-2025-nvidia-geforce-rtx-5090,pc_component,2025,build,NVIDIA,GeForce RTX 5090,gpu,NVIDIA GeForce RTX 5090,GPU très haut de gamme (build 2025).,"5090, blackwell, gpu, nvidia, rtx"
PC_-2025-nvidia-geforce-rtx-5080,pc_component,2025,build,NVIDIA,GeForce RTX 5080,gpu,NVIDIA GeForce RTX 5080,GPU haut de gamme (build 2025).,"5080, blackwell, gpu, nvidia, rtx"
PC_-2025-amd-radeon-rx-9070-xt,pc_component,2025,build,AMD,Radeon RX 9070 XT,gpu,AMD Radeon RX 9070 XT,GPU AMD RDNA4 (build 2025).,"9070 xt, amd, gpu, radeon, rdna4, rx"
PC_-2025-amd-radeon-rx-9060-xt,pc_component,2025,build,AMD,Radeon RX 9060 XT,gpu,AMD Radeon RX 9060 XT,GPU AMD RDNA4 (build 2025).,"9060 xt, amd, gpu, radeon, rdna4, rx"
PC_-2023-corsair-vengeance-ddr5-32gb-2x16-6000,pc_component,2023,build,Corsair,Vengeance DDR5 32GB (2x16) 6000,ram,Corsair Vengeance DDR5 32GB (2x16) 6000,RAM DDR5 pour build 2023.,"32gb, 6000, corsair, ddr5, ram"
PC_-2023-samsung-980-pro-1tb-nvme,pc_component,2023,build,Samsung,980 PRO 1TB NVMe,ssd,Samsung 980 PRO 1TB NVMe,SSD NVMe rapide (souvent utilisé en 2023).,"1tb, 980 pro, nvme, samsung, ssd"
PC_-2023-seasonic-focus-gx-750-80-gold,pc_component,2023,build,Seasonic,FOCUS GX-750 (80+ Gold),psu,Seasonic FOCUS GX-750 (80+ Gold),Alimentation 750W pour build 2023.,"750w, gold, psu, seasonic"
PC_-2023-nzxt-h5-flow,pc_component,2023,build,NZXT,H5 Flow,case,NZXT H5 Flow,Boîtier airflow pour build 2023.,"case, flow, h5, nzxt"
PC_-2024-crucial-t500-1tb-nvme,pc_component,2024,build,Crucial,T500 1TB NVMe,ssd,Crucial T500 1TB NVMe,SSD NVMe (build 2024).,"1tb, crucial, nvme, ssd, t500"
PC_-2024-corsair-rm850e-80-gold,pc_component,2024,build,Corsair,RM850e (80+ Gold),psu,Corsair RM850e (80+ Gold),Alimentation 850W (build 2024).,"850w, corsair, gold, psu, rm850e"
PC_-2024-g-skill-trident-z5-ddr5-32gb-6400,pc_component,2024,build,G.Skill,Trident Z5 DDR5 32GB 6400,ram,G.Skill Trident Z5 DDR5 32GB 6400,RAM DDR5 hautes fréquences (build 2024).,"32gb, 6400, ddr5, gskill, trident, z5"
PC_-2024-lian-li-lancool-216,pc_component,2024,build,Lian Li,Lancool 216,case,Lian Li Lancool 216,Boîtier airflow (build 2024).,"216, case, lancool, lian li"
PC_-2025-samsung-990-evo-2tb-nvme,pc_component,2025,build,Samsung,990 EVO 2TB NVMe,ssd,Samsung 990 EVO 2TB NVMe,SSD NVMe (build 2025).,"2tb, 990 evo, nvme, samsung, ssd"
PC_-2025-corsair-icue-link-h150i-360mm,pc_component,2025,build,Corsair,iCUE LINK H150i (360mm),cooler,Corsair iCUE LINK H150i (360mm),Watercooling AIO (build 2025).,"360mm, aio, cooler, corsair, h150i"
PC_-2025-be-quiet-pure-power-12-m-850w,pc_component,2025,build,be quiet!,Pure Power 12 M 850W,psu,be quiet! Pure Power 12 M 850W,Alimentation ATX 3.0 (build 2025).,"850w, atx 3.0, be quiet, psu"
PC_-2025-kingston-fury-beast-ddr5-64gb-6000,pc_component,2025,build,Kingston,FURY Beast DDR5 64GB 6000,ram,Kingston FURY Beast DDR5 64GB 6000,RAM DDR5 64GB (build 2025).,"6000, 64gb, ddr5, fury, kingston"
CAR-2025-bosch-wiper-blades-aerotwin,car_part,2025,replacement,Bosch,Wiper Blades Aerotwin,wiper,Bosch Wiper Blades Aerotwin,Balais d’essuie-glace (remplacement).,"aerotwin, bosch, essuie-glace, wiper"
CAR-2025-bosch-spark-plugs,car_part,2025,replacement,Bosch,Spark Plugs,spark_plug,Bosch Spark Plugs,Bougies d’allumage (remplacement).,"bosch, bougie, spark plug"
CAR-2025-ngk-iridium-spark-plugs,car_part,2025,replacement,NGK,Iridium Spark Plugs,spark_plug,NGK Iridium Spark Plugs,Bougies iridium (remplacement).,"bougie, iridium, ngk"
CAR-2025-denso-oxygen-sensor,car_part,2025,replacement,Denso,Oxygen Sensor,sensor,Denso Oxygen Sensor,Sonde lambda / O2 (remplacement).,"denso, lambda, o2, sensor, sonde"
CAR-2025-valeo-clutch-kit,car_part,2025,replacement,Valeo,Clutch Kit,clutch,Valeo Clutch Kit,Kit embrayage (remplacement).,"clutch, embrayage, kit, valeo"
CAR-2025-brembo-brake-pads-set,car_part,2025,replacement,Brembo,Brake Pads Set,brake,Brembo Brake Pads Set,Plaquettes de frein (remplacement).,"brake pads, brembo, frein, plaquettes"
CAR-2025-ate-brake-discs-pair,car_part,2025,replacement,ATE,Brake Discs Pair,brake,ATE Brake Discs Pair,Disques de frein (remplacement).,"ate, disques, frein"
CAR-2025-mann-filter-oil-filter,car_part,2025,replacement,MANN-FILTER,Oil Filter,filter,MANN-FILTER Oil Filter,Filtre à huile (remplacement).,"filtre, huile, mann, oil filter"
CAR-2025-mahle-air-filter,car_part,2025,replacement,Mahle,Air Filter,filter,Mahle Air Filter,Filtre à air (remplacement).,"air, air filter, filtre, mahle"
CAR-2025-philips-h7-headlight-bulbs,car_part,2025,replacement,Philips,H7 Headlight Bulbs,lighting,Philips H7 Headlight Bulbs,Ampoules phares H7 (remplacement).,"ampoule, h7, headlight, philips"
CAR-2025-osram-night-breaker-h4-bulbs,car_part,2025,replacement,Osram,Night Breaker H4 Bulbs,lighting,Osram Night Breaker H4 Bulbs,Ampoules H4 performance (remplacement).,"ampoule, h4, osram"
CAR-2025-skf-wheel-bearing-kit,car_part,2025,replacement,SKF,Wheel Bearing Kit,bearing,SKF Wheel Bearing Kit,Roulement de roue (remplacement).,"roulement, skf, wheel bearing"
CAR-2025-continental-timing-belt-kit,car_part,2025,replacement,Continental,Timing Belt Kit,belt,Continental Timing Belt Kit,Kit courroie de distribution (remplacement).,"continental, courroie, distribution, timing belt"
CAR-2025-gates-serpentine-belt,car_part,2025,replacement,Gates,Serpentine Belt,belt,Gates Serpentine Belt,Courroie accessoire (remplacement).,"accessoire, courroie, gates"
CAR-2025-monroe-shock-absorbers-pair,car_part,2025,replacement,Monroe,Shock Absorbers (pair),suspension,Monroe Shock Absorbers (pair),Amortisseurs (remplacement).,"amortisseur, monroe, shock absorber"
CAR-2025-kyb-struts-pair,car_part,2025,replacement,KYB,Struts (pair),suspension,KYB Struts (pair),Jambes de force (remplacement).,"amortisseur, kyb, strut"
CAR-2025-acdelco-car-battery-12v,car_part,2025,replacement,ACDelco,Car Battery 12V,battery,ACDelco Car Battery 12V,Batterie voiture 12V (remplacement).,"12v, acdelco, batterie"
CAR-2025-bosch-alternator,car_part,2025,replacement,Bosch,Alternator,charging,Bosch Alternator,Alternateur (remplacement).,"alternateur, bosch"
CAR-2025-bosch-starter-motor,car_part,2025,replacement,Bosch,Starter Motor,starting,Bosch Starter Motor,Démarreur (remplacement).,"bosch, demarreur, starter"
CAR-2025-febi-bilstein-engine-mount,car_part,2025,replacement,Febi Bilstein,Engine Mount,mount,Febi Bilstein Engine Mount,Support moteur (remplacement).,"engine mount, febi, support moteur"
CAR-2025-liqui-moly-engine-oil-5w-30,car_part,2025,replacement,Liqui Moly,Engine Oil 5W-30,fluids,Liqui Moly Engine Oil 5W-30,Huile moteur 5W-30 (entretien).,"5w-30, huile, liqui moly"
CAR-2025-castrol-brake-fluid-dot-4,car_part,2025,replacement,Castrol,Brake Fluid DOT 4,fluids,Castrol Brake Fluid DOT 4,Liquide de frein DOT 4 (entretien).,"castrol, dot4, liquide de frein"
